pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_orbsmax,st_spectype,st_teff,st_met
16.69,387.7526,1669.0,4.231306,0.058,F,6495.0,0.22
1.79,4.91,924.0,0.989343,0.01545,M2,3550.0,0.23
2.06,41.31769,1062.0,10.98462,0.103,F7 V,6170.0,0.09
11.063,200.2319,684.0,40.74976,0.249,F7 V,6170.0,0.09
1.468,3.03,1062.0,0.66913924,0.01138,M2.65 V,3575.0,0.3
12.173,251.40353,1715.0,2.2554477,0.03524,G1 V,5880.0,0.24
1.9,6.36,698.0,3.1342791,0.033548,M1 V,3690.0,0.0
3.09,48.8,489.0,2.500311,0.0229,M5V,3185.0,0.336
5.15,18.4,730.0,24.283382,0.164,G5 V,5730.0,0.12
5.05,26.78,767.0,3.49151,0.0391,M0,3980.0,0.25
1.39,57.0,831.0,2.38839,0.0291,M0 V,3985.0,-0.26
2.12,14.0,673.0,4.4929,0.0443,M0 V,3985.0,-0.26
2.52,15.0,533.0,9.0497,0.0707,M0 V,3985.0,-0.26
3.14,10.8,443.0,18.85019,0.1177,M0.0 V,4065.0,0.05
1.152,1.5,1040.0,1.914558,0.02607,K,4316.0,-0.23
1.669,4.77,873.0,3.23845,0.037,K,4316.0,-0.23
2.572,3.01,690.0,6.5577,0.0592,K,4316.0,-0.23
2.207,3.86,600.0,9.961881,0.0783,K,4316.0,-0.23
2.287,7.72,521.0,15.231915,0.1039,K,4316.0,-0.23
2.87,3.94,470.0,20.7095,0.1275,K,4316.0,-0.23
16.141,222.47988,1927.0,3.208664,0.04882,F,5991.0,0.373
6.956,46.1687,895.0,4.532,0.0539,K,4994.0,0.272
3.46,73.2,1479.0,1.2436258,0.0213,K2.5 V,4985.0,0.11
12.89,209.7678,362.0,29.02,0.1587,M0,3841.0,0.31
